unit,scenario_id,type,sensor,param,timing_p,tau_s,T_u,t_exit,pos_in_life,yhat_clean_at_exit,delta_at_exit,delta_min_after20,degraded_len_before,reentry_within_20,reentry_gap,is_final_exit,pattern
9,gain_T50_a1.0_neg_p0.4,gain,T50,1.0,0.4,113,201,149,0.7412935323383084,68.11259460449219,3.8295669555664062,0.5607070922851562,32,False,,True,C
9,gain_T50_a1.0_pos_p0.2,gain,T50,1.0,0.2,84,201,178,0.8855721393034826,22.184452056884766,4.650485992431641,0.021318435668945312,65,False,,True,C
9,gain_T50_a1.0_pos_p0.4,gain,T50,1.0,0.4,113,201,178,0.8855721393034826,22.184452056884766,4.650485992431641,0.021318435668945312,60,False,,True,C
9,gain_T50_a1.5_neg_p0.2,gain,T50,1.5,0.2,84,201,148,0.736318407960199,67.29855346679688,3.2582778930664062,0.0072021484375,60,False,,True,C
9,gain_T50_a1.5_neg_p0.4,gain,T50,1.5,0.4,113,201,152,0.7562189054726368,68.87545776367188,1.9892730712890625,0.2085113525390625,36,False,,True,C
9,gain_T50_a1.5_pos_p0.2,gain,T50,1.5,0.2,84,201,179,0.8905472636815921,17.87055206298828,3.480335235595703,0.2228224277496338,69,False,,True,C
9,gain_T50_a1.5_pos_p0.4,gain,T50,1.5,0.4,113,201,179,0.8905472636815921,17.87055206298828,3.480335235595703,0.2228224277496338,61,False,,True,C
9,gain_T50_a2.0_neg_p0.2,gain,T50,2.0,0.2,84,201,148,0.736318407960199,67.29855346679688,4.669452667236328,0.2389678955078125,61,True,18.0,False,A
9,gain_T50_a2.0_neg_p0.2,gain,T50,2.0,0.2,84,201,191,0.9502487562189055,4.628536224365234,4.531391143798828,0.9317026138305664,25,False,,True,B
9,gain_T50_a2.0_neg_p0.4,gain,T50,2.0,0.4,113,201,152,0.7562189054726368,68.87545776367188,2.9350738525390625,0.2966766357421875,37,True,14.0,False,A
9,gain_T50_a2.0_neg_p0.4,gain,T50,2.0,0.4,113,201,191,0.9502487562189055,4.628536224365234,4.531391143798828,0.9317026138305664,25,False,,True,B
9,gain_T50_a2.0_pos_p0.2,gain,T50,2.0,0.2,84,201,181,0.900497512437811,15.382980346679688,4.254554748535156,0.3004598617553711,71,False,,True,B
9,gain_T50_a2.0_pos_p0.4,gain,T50,2.0,0.4,113,201,181,0.900497512437811,15.382980346679688,4.254554748535156,0.3004598617553711,64,False,,True,B
9,multiC_T24+T30+T50_a0.3_na_p0.2,multi_C,T24+T30+T50,0.3,0.2,84,201,164,0.8159203980099502,44.8278694152832,1.6902313232421875,0.6707630157470703,63,False,,True,C
9,multiC_T24+T30+T50_a0.3_na_p0.4,multi_C,T24+T30+T50,0.3,0.4,113,201,164,0.8159203980099502,44.8278694152832,1.6902313232421875,0.6707630157470703,40,False,,True,C
9,multiC_T24+T30+T50_a0.3_na_p0.6,multi_C,T24+T30+T50,0.3,0.6,143,201,167,0.8308457711442786,41.77626419067383,4.432563781738281,0.5504388809204102,12,False,,True,C
9,multiC_T24+T30+T50_a0.5_na_p0.2,multi_C,T24+T30+T50,0.5,0.2,84,201,164,0.8159203980099502,44.8278694152832,2.8322525024414062,1.0167293548583984,69,False,,True,C
9,multiC_T24+T30+T50_a0.5_na_p0.4,multi_C,T24+T30+T50,0.5,0.4,113,201,164,0.8159203980099502,44.8278694152832,2.8322525024414062,1.0167293548583984,47,False,,True,C
